current,market_capital,name,pe_ttm,percent,symbol
0.6189,152215187,Taseko矿业,-5.672,5.92,TGB
3.951,30962355,麦克拉奇报业,-0.388,5.92,MNI
18.31,2055173816,圣玛丽石油勘测,4.042,5.9,SM
3.0971,17652996,Taitron电子配件,12.811,5.88,TAIT
0.7001,8733309,艾森媒体,-0.013,5.87,ASCMA
7.57,11286114575,加拿大能源,10.558,5.87,ECA
4.46,12533595,Seanergy海事控股,-0.595,5.84,SHIP
13.07,1506082135,Sirius国际保险,-34.782,5.83,SG
13.09,260263404,应用光电,-121.278,5.82,AAOI
5.29,1590249293,拍拍贷,4.322,5.8,PPDF
3.3392,16218321,专业多样网络,-1.02,5.67,IPDN
0.28,13543206,Precipio,-0.514,5.66,PRPO
3.63,13426876,卡弗储蓄,-194.592,5.61,CARV
6.81,35754454,Wilhelmina国际,41.769,5.58,WHLM
2.48,62509908,Horizon Global,-0.306,5.53,HZN
42.29,14152451180,Canopy Growth,-29.91,5.51,CGC
5.56,2153944000,百世集团,-28.452,5.5,BEST
9.2,98247665,Ellomay Capital,82.133,5.5,ELLO
4.23,2323654970,Crescent Point,-1.184,5.49,CPG
1.74,158727700,Auryn Resources,-11.971,5.45,AUG
2.32,104334657,HC2控股,0.671,5.45,HCHC
19.64,65810360,Acme联合,14.312,5.42,ACU
70.83,7183603957,Cimarex能源,9.072,5.4,XEC
2.35,404145318,Ferroglobe,-596.085,5.38,GSM
2.95,70919776,三一生物科技,-1.711,5.36,TRIB
0.3035,154017568,黑曜石能源,-0.673,5.27,OBE
8,293386176,Majesco,47.884,5.26,MJCO
0.7682,13387831,Evoke Pharma,-1.769,5.26,EVOK
5.22,9651911,Technical通信,-15.086,5.24,TCCO
7.05,559718838,ORBCOMM轨道通讯系统,-21.313,5.22,ORBC
0.2869,23558211,Fusion国际电讯,-0.514,10.35,FSNN
0.3471,35099419,Zomedica,-2.108,10.02,ZOM
21,681166521,Tufin软件科技,-159.823,9.95,TUFN
34.6041,18160779394,探索传播B,30.574,9.85,DISCB
6.87,568248828,如涵控股,-35.314,9.74,RUHN
3.38,33439111,CCUR Holdings,,9.39,CCUR
3.91,170350207,Rosehill Resources,6.389,9.22,ROSE
0.3684,94484828,EP能源,-0.094,9.19,EPE
113.89,22845936866,康休,9.994,8.75,CXO
0.8335,69145405,梅登控股,-0.121,8.61,MHLD
14.66,359146911,PhaseBio制药,-15.061,8.51,PHAS
14.72,343844141,Merus,-12.519,8.47,MRUS
34.93,7647497249,Western Midstream,20.701,8.41,WES
1.42,4450652,Lm Funding America,-1.553,8.4,LMFA
26.42,1819576232,Alector,-34.826,8.28,ALEC
1.2,48857828,Blueknight,-0.733,8.11,BKEP
8.21,1870860548,卡隆石油,6.384,8.03,CPE
4.59,57375000,Navios海事控股,-0.393,8,NM
20.95,2438335241,Matador能源,8.892,7.88,MTDR
1.1644,12327164,泰克飞石,-0.106,7.81,CNTF
0.83,35166846,生命治疗,-0.961,7.78,VTL
77.54,6662872085,Guardant Health,-78.329,7.56,GH
2.1485,21623329,Cemtrex优先,0,7.43,CETXP
0.6569,40397373,Workhorse集团,-1.084,7.41,WKHS
33.48,14674284000,戴文能源,4.789,7.38,DVN
0.1955,4528399,Yuma Energy,-0.291,7.36,YUMA
1.11,137859737,Second Sight医疗产品,-3.928,7.25,EYES
67.13,21871706259,爱迪生国际,47.341,7.24,EIX
6.99,58282760,Super League Gaming,-2.826,7.21,SLGG
63.06,438197634,GRAVITY Co,22.779,7.14,GRVY
25.46,1943797573,Jumia Technologie,-10.099,75.59,JMIA
0.99,9213065,Taronis Technologies,-0.472,47.46,TRNX
0.2278,21549789,Histogenics,-2.493,33.53,HSGX
11.49,31023000,Draper Oakwood,-193.947,32.99,RBZ
61.78,31009841091,阿纳达科石油,50.423,32.01,APC
4.49,3260041,阳光动力,-0.04,22.01,SPI
0.55,9938212,Flex制药,-0.453,21.87,FLKS
23.08,12176117781,太平洋煤气电力,-1.777,20.65,PCG
0.54,6646427,FC Global Realty,,20,FCRE
58.24,2577857202,生物医药控股,-10.7,19.96,BHVN
9.93,4169528,Enlivex医疗,-0.701,19.35,ENLV
2.2887,35452364,Summit无线技术,-0.526,19.2,WISA
0.69,31991553,Viveve Medical,-0.64,19.17,VIVE
1.3,25269186,Kitov Pharma,-4.859,18.18,KTOV
0.346,11173727,Ampliphi生物科学,-0.923,18.05,APHB
1.77,122121635,人人,2.941,18,RENN
7,25062744,Immuron,-11.616,16.67,IMRN
1.33,100458555,Vermillion,-8.835,15.65,VRML
5.75,13800000,Castor Maritime,14.068,13.86,CTRM
20.73,1938925595,Adient,-1.305,13.65,ADNT
0.7721,,VERB TECHNOLOGY COMPANY INC C/WTS 13/03/2024 (TO PUR COM),,13.56,VERBW
8.43,11417330628,桑坦德银行-墨西哥,11.011,12.4,BSMX
0.4246,7729868,Neuralstem,-1.57,12.24,CUR
1.2,37282417,Shiftpixy,-2.444,12.15,PIXY
3.9,49488079,Ra Medical Systems,-1.605,11.75,RMED
20.29,6426051642,Parsley Energy,17.409,11.73,PE
130.06,193890425796,迪士尼,17.686,11.54,DIS
168.32,28359608630,先锋自然资源,28.998,11.53,PXD
3.89,42894828,Reven Housing Reit,-13.598,11.14,RVEN
5.71,1877403816,趣店,5.057,10.87,QD
0.3121,6912749,热动力医疗,-0.174,7.14,KOOL
11.89,823580659,云米,109.338,7.12,VIOT
10.22,252668406,Legacy住房,11.745,7.02,LEGH
7.81,219112237,resTORbio,-5.825,6.99,TORC
13.75,146733455,Coda Octopus Group,22.943,6.92,CODA
26.87,12993912506,诺贝尔能源,-196.877,6.92,NBL
18.6,581657582,Forty Seven,-8.266,6.9,FTSV
